episode,return,epsilon,emotion,competitive_mindset,win_rate,loss_rate,draw_rate,win_loss_momentum,had_competition,competition_outcome,score_diff,psa_stability,psa_trend,lr_actual
0,9.0,0.995,0.5,BALANCED,0.0,0.0,0.0,0.0,False,none,0.0,0.0,stable,0.0005
10,11.0,0.946354579813443,0.512208498783373,BALANCED,0.5,0.5,0.0,0.009999999999999995,True,decisive_win,17.0,0.682487909016107,descending,0.0004972668346541571
20,13.0,0.9000874278732445,0.539968061461392,BALANCED,0.75,0.25,0.0,0.19809999999999994,True,win,2.0,0.6663884830957131,stable,0.0005092059062830216
30,18.0,0.8560822709551227,0.539968061461392,BALANCED,0.5,0.16666666666666666,0.3333333333333333,0.16046099999999996,True,draw,1.0,0.6405120226157017,stable,0.0005119904184384175
40,17.0,0.8142285204175609,0.5624680614613919,ADAPTIVE,0.5,0.125,0.375,0.22997340999999996,True,decisive_win,224.0,0.5593432554188996,ascending,0.0005119904184384175
50,14.0,0.7744209942832988,0.5720189020289883,ADAPTIVE,0.5,0.1,0.4,0.28627846209999996,True,win,27.0,0.5641083325662798,ascending,0.0005187404184384176
60,15.0,0.736559652908221,0.5907250944955278,ADAPTIVE,0.5,0.08333333333333333,0.4166666666666667,0.331885554301,True,decisive_win,31.0,0.5790100713402498,ascending,0.0005216056706086965
70,26.0,0.7005493475733617,0.6003847990427431,CONFIDENT,0.5,0.14285714285714285,0.35714285714285715,0.27882729898381,True,decisive_win,42.0,0.5936901012112118,ascending,0.0005244640458758134
80,28.0,0.6662995813682115,0.6009439482274643,CONFIDENT,0.5,0.1875,0.3125,0.2158501121768861,True,decisive_loss,-39.0,0.5626876727888891,ascending,0.0005358861652145729
90,21.0,0.6337242817644086,0.582513497659064,BALANCED,0.4444444444444444,0.2777777777777778,0.2777777777777778,-0.015161409136722204,True,loss,-36.0,0.5399809889013206,ascending,0.0005276468804545855
100,71.0,0.6027415843082742,0.6020103955660515,CONFIDENT,0.5,0.25,0.25,0.17771925859925497,True,win,46.0,0.5377553329218812,ascending,0.0005276759644751275
110,56.0,0.5732736268885887,0.6022932725294681,CONFIDENT,0.5,0.2727272727272727,0.22727272727272727,0.15395259946539652,True,win,39.0,0.5287359176756091,ascending,0.0005277792516116529
120,47.0,0.5452463540625918,0.5932242161714902,BALANCED,0.4583333333333333,0.2916666666666667,0.25,0.03470160556697121,True,draw,-5.0,0.5285585635854035,ascending,0.000527967264851447
130,20.0,0.5185893309484582,0.595131678685508,BALANCED,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.03810830050924667,True,decisive_win,96.0,0.5317223132213638,ascending,0.0005224430526940357
140,64.0,0.4932355662165453,0.6136499814429769,CONFIDENT,0.4642857142857143,0.2857142857142857,0.25,0.12086772341248977,True,draw,-4.0,0.5311148919154742,ascending,0.000534094994432893
150,82.0,0.46912134373457726,0.6041039949396247,CONFIDENT,0.43333333333333335,0.3,0.26666666666666666,-0.00209714403588325,True,loss,-31.0,0.5352811204465251,ascending,0.000534094994432893
160,16.0,0.446186062443672,0.5746719789886158,BALANCED,0.40625,0.34375,0.25,-0.1916986866690654,True,decisive_loss,-127.0,0.537244745649062,ascending,0.0005285315105436985
170,16.0,0.42437208406280985,0.594015968193063,BALANCED,0.4117647058823529,0.3235294117647059,0.2647058823529412,-0.065275936201943,True,draw,1.0,0.5412615452582785,ascending,0.000528204790457919
180,50.0,0.4036245882390106,0.5849436376808106,BALANCED,0.3888888888888889,0.3333333333333333,0.2777777777777778,-0.14287350832357382,True,draw,2.0,0.5462126697921472,ascending,0.0005254830913042432
190,32.0,0.38389143477919885,0.5849436376808106,BALANCED,0.3684210526315789,0.3157894736842105,0.3157894736842105,-0.11572754174209479,True,draw,-3.0,0.5489259425587928,ascending,0.0005254830913042432
200,116.0,0.36512303261753626,0.5664245306923182,BALANCED,0.35,0.325,0.325,-0.19373930881109677,True,decisive_loss,-34.0,0.551534936683816,ascending,0.0005254830913042432
210,24.0,0.3472722151889232,0.5688057231657235,BALANCED,0.35714285714285715,0.3333333333333333,0.30952380952380953,-0.14692884013698837,True,decisive_win,246.0,0.555650127494755,ascending,0.000513904944087644
220,70.0,0.3302941218954743,0.5778345036612739,BALANCED,0.36363636363636365,0.3181818181818182,0.3181818181818182,-0.0290123605109606,True,draw,-4.0,0.5540175365289742,ascending,0.0005233503510983821
230,86.0,0.3141460853680822,0.5689145291735067,BALANCED,0.34782608695652173,0.32608695652173914,0.32608695652173914,-0.12350001201387806,True,loss,-8.0,0.557361710772923,ascending,0.0005233503510983821
240,108.0,0.2987875242397482,0.5600746331301185,BALANCED,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.1900350097312412,True,draw,0.0,0.5612575434337492,ascending,0.0005180223899390355
250,68.0,0.28417984116121187,0.5600746331301185,BALANCED,0.32,0.32,0.36,-0.15392835788230538,True,draw,5.0,0.5595832281914459,ascending,0.0005180223899390355
260,30.0,0.2702863258025825,0.5420551876693349,ADAPTIVE,0.3076923076923077,0.34615384615384615,0.34615384615384615,-0.31468196988466735,True,loss,-6.0,0.5596437778619234,ascending,0.0005152528603144541
270,70.0,0.2570720625972084,0.5542832740137714,ADAPTIVE,0.3148148148148148,0.35185185185185186,0.3333333333333333,-0.2648923956065806,True,loss,-11.0,0.5627561793848861,ascending,0.0005189992102881385
280,108.0,0.24450384299593592,0.5542832740137714,ADAPTIVE,0.30357142857142855,0.3392857142857143,0.35714285714285715,-0.2145628404413303,True,draw,-5.0,0.5669648942606548,ascending,0.0005162849822041315
290,265.0,0.23255008201124722,0.5764144837776994,BALANCED,0.3103448275862069,0.3275862068965517,0.3620689655172414,-0.08379590075747759,True,draw,0.0,0.5668332503844056,ascending,0.0005229243451333098
300,317.0,0.2211807388415433,0.5675702478131965,BALANCED,0.3,0.3333333333333333,0.36666666666666664,-0.16787467961355684,True,loss,-8.0,0.5638539426827913,ascending,0.0005229243451333098
310,178.0,0.21036724137609603,0.5767634258119848,BALANCED,0.3064516129032258,0.3225806451612903,0.3709677419354839,-0.045978490486981057,True,draw,-5.0,0.5654266267291671,ascending,0.0005230290277435954
320,193.0,0.2000824143909432,0.5578757746666312,BALANCED,0.296875,0.328125,0.375,-0.12724257729445465,True,draw,-2.0,0.566065219665501,ascending,0.0005173627323999893
330,119.0,0.1903004112552766,0.5578757746666312,BALANCED,0.2878787878787879,0.3181818181818182,0.3939393939393939,-0.10306648760850827,True,draw,-1.0,0.569224943252429,ascending,0.0005173627323999893
340,142.0,0.18099664897669618,0.5578757746666312,BALANCED,0.27941176470588236,0.3088235294117647,0.4117647058823529,-0.0834838549628917,True,draw,-1.0,0.5745955846261761,ascending,0.0005173627323999893
350,121.0,0.17214774642209296,0.5577863460216291,BALANCED,0.2857142857142857,0.3142857142857143,0.4,-0.057621922519942304,True,win,8.0,0.5786040198554669,ascending,0.0005146884997814085
360,167.0,0.16373146555890544,0.5761295865764933,BALANCED,0.2916666666666667,0.3055555555555556,0.4027777777777778,0.05332624275884671,True,decisive_win,49.0,0.5805619305699486,ascending,0.0005173359038064888
370,267.0,0.1557266555690826,0.5739207101854099,BALANCED,0.2972972972972973,0.3108108108108108,0.3918918918918919,0.053194256634665836,True,decisive_win,35.0,0.5763924765077685,ascending,0.0005164488776058376
380,247.0,0.14811319969530845,0.602145189227477,CONFIDENT,0.3157894736842105,0.3026315789473684,0.3815789473684211,0.2330873478740793,True,decisive_win,36.0,0.5658485261839405,ascending,0.0005248164578137291
390,224.0,0.14087196468590776,0.6136481978365166,CONFIDENT,0.32051282051282054,0.3076923076923077,0.3717948717948718,0.17880075177800425,True,loss,-7.0,0.5669925298071115,ascending,0.0005367524171536704
400,351.0,0.13398475271138335,0.6136481978365166,CONFIDENT,0.3125,0.3,0.3875,0.14482860894018346,True,draw,0.0,0.5615981278673,ascending,0.0005340944593509549
410,33.0,0.12743425563174798,0.5926356475761755,BALANCED,0.3048780487804878,0.3048780487804878,0.3902439024390244,0.02731117324154862,True,draw,1.0,0.5624149667569458,ascending,0.0005277906942728526
420,135.0,0.12120401149972035,0.5807711118284781,BALANCED,0.30952380952380953,0.30952380952380953,0.38095238095238093,0.012122050325654388,True,decisive_loss,-193.0,0.5584715001820434,ascending,0.000530448652075568
430,139.0,0.11527836319047392,0.5897479167271181,BALANCED,0.313953488372093,0.3023255813953488,0.38372093023255816,0.09981886076378003,True,draw,-5.0,0.5602781124517107,ascending,0.0005269243750181354
440,111.0,0.10964241905397228,0.5809118081686447,BALANCED,0.3068181818181818,0.3068181818181818,0.38636363636363635,-0.019146722781338138,True,loss,-7.0,0.5641167955865868,ascending,0.0005269243750181354
450,112.0,0.1042820154910064,0.5900587009455119,BALANCED,0.3111111111111111,0.3,0.3888888888888889,0.08449115454711609,True,win,10.0,0.5660716995813878,ascending,0.0005242735424505935
460,113.0,0.09918368135888474,0.5812335751808942,BALANCED,0.30434782608695654,0.30434782608695654,0.391304347826087,-0.03156216481683595,True,loss,-7.0,0.5692521779318704,ascending,0.0005270176102836535
470,129.0,0.0943346041173244,0.5812335751808942,BALANCED,0.2978723404255319,0.2978723404255319,0.40425531914893614,-0.02556535350163712,True,draw,4.0,0.5728593877992987,ascending,0.0005243700725542683
480,127.0,0.08972259762946533,0.5904075167602123,BALANCED,0.3020833333333333,0.2916666666666667,0.40625,0.06929206366367392,True,draw,-3.0,0.5758432686302252,ascending,0.0005271222550280636
490,139.0,0.08533607153708872,0.5999723267549278,BALANCED,0.30612244897959184,0.2857142857142857,0.40816326530612246,0.15612657156757587,True,win,49.0,0.5794333394922082,ascending,0.0005271222550280636
