episode,return,epsilon,emotion,competitive_mindset,win_rate,had_competition,competition_outcome,psa_stability,infrastructure_loop_speed,infrastructure_automation,lr_actual
0,-500.0,0.997,0.5,BALANCED,0.0,False,none,0.0,0.1,0.9,0.0005800000000000001
10,-500.0,0.9674905716180701,0.5,BALANCED,0.0,True,draw,1.0,0.1,0.9,0.0005800000000000001
20,-500.0,0.9388545698794984,0.5,BALANCED,0.0,True,draw,1.0,0.1,0.9,0.0005800000000000001
30,-500.0,0.9110661429076764,0.5,BALANCED,0.0,True,draw,1.0,0.1,0.9,0.0005800000000000001
40,-490.0,0.884100203995605,0.5,BALANCED,0.0,True,draw,0.9940101402375641,0.1,0.9,0.0005800000000000001
50,-500.0,0.857932408958235,0.5,BALANCED,0.0,True,draw,0.9692372841300235,0.1,0.9,0.0005800000000000001
60,-500.0,0.8325391341551359,0.5,BALANCED,0.0,True,draw,0.9704261984796868,0.1,0.9,0.0005800000000000001
70,-500.0,0.8078974551636565,0.5,BALANCED,0.0,True,draw,0.9294737370122006,0.1,0.9,0.0005800000000000001
80,-449.0,0.78398512608332,0.5,BALANCED,0.0,True,draw,0.8855510358111682,0.1,0.9,0.0005800000000000001
90,-415.0,0.7607805594527743,0.5194710966036352,BALANCED,0.1111111111111111,True,decisive_win,0.8855224395527926,0.1,0.9,0.0005800000000000001
100,-219.0,0.7382628067611632,0.5194710966036352,BALANCED,0.1,True,draw,0.8672959221945337,0.1,0.9,0.0005867759416180652
110,-439.0,0.7164115395363275,0.5194710966036352,BALANCED,0.09090909090909091,True,draw,0.8578110255814,0.1,0.9,0.0005867759416180652
120,-332.0,0.6952070309927615,0.5194710966036352,BALANCED,0.08333333333333333,True,draw,0.8493552474560916,0.1,0.9,0.0005867759416180652
130,-500.0,0.6746301382227565,0.5194710966036352,BALANCED,0.07692307692307693,True,draw,0.8423398770306839,0.1,0.9,0.0005867759416180652
140,-500.0,0.6546622849146564,0.5194710966036352,BALANCED,0.07142857142857142,True,draw,0.8377311093163383,0.1,0.9,0.0005867759416180652
150,-361.0,0.6352854445826206,0.5194710966036352,BALANCED,0.06666666666666667,True,draw,0.8356969948694707,0.1,0.9,0.0005867759416180652
160,-333.0,0.6164821242927577,0.5194710966036352,BALANCED,0.0625,True,draw,0.8304200805922609,0.1,0.9,0.0005867759416180652
170,-263.0,0.598235348870935,0.5194710966036352,BALANCED,0.058823529411764705,True,draw,0.8196285459850479,0.1,0.9,0.0005867759416180652
180,-255.0,0.5805286455780104,0.5194710966036352,BALANCED,0.05555555555555555,True,draw,0.8153549408476951,0.1,0.9,0.0005867759416180652
190,-290.0,0.5633460292386493,0.5194710966036352,BALANCED,0.05263157894736842,True,draw,0.811720158452428,0.1,0.9,0.0005867759416180652
200,-449.0,0.5466719878103016,0.5194710966036352,BALANCED,0.05,True,draw,0.8038751562835205,0.1,0.9,0.0005867759416180652
210,-469.0,0.5304914683793133,0.5194710966036352,BALANCED,0.047619047619047616,True,draw,0.8037528247311905,0.1,0.9,0.0005867759416180652
220,-223.0,0.5147898635715258,0.5194710966036352,BALANCED,0.045454545454545456,True,draw,0.7993174578695164,0.1,0.9,0.0005867759416180652
230,-407.0,0.49955299836509925,0.5100087239696531,BALANCED,0.043478260869565216,True,loss,0.7998236638682629,0.1,0.9,0.0005867759416180652
240,-295.0,0.4847671172936517,0.5100087239696531,BALANCED,0.041666666666666664,True,draw,0.7977968184316379,0.1,0.9,0.0005834830359414394
250,-195.0,0.47041887202816357,0.5100087239696531,BALANCED,0.04,True,draw,0.790316355862108,0.1,0.9,0.0005834830359414394
260,-356.0,0.45649530932643506,0.5100087239696531,BALANCED,0.038461538461538464,True,draw,0.7841500541196849,0.1,0.9,0.0005834830359414394
270,-396.0,0.44298385933921797,0.5100087239696531,BALANCED,0.037037037037037035,True,draw,0.7825015810075541,0.1,0.9,0.0005834830359414394
280,-216.0,0.42987232426246613,0.5100087239696531,BALANCED,0.03571428571428571,True,draw,0.775474359354138,0.1,0.9,0.0005834830359414394
290,-275.0,0.41714886732545814,0.5100087239696531,BALANCED,0.034482758620689655,True,draw,0.773935965705305,0.1,0.9,0.0005834830359414394
300,-252.0,0.4048020021048524,0.5296763245404094,BALANCED,0.06666666666666667,True,decisive_win,0.767869805165916,0.1,0.9,0.0005834830359414394
310,-317.0,0.3928205821550279,0.5296763245404094,BALANCED,0.06451612903225806,True,draw,0.7634685543144548,0.1,0.9,0.0005903273609400625
320,-377.0,0.38119379094534706,0.5296763245404094,BALANCED,0.0625,True,draw,0.7593272488212348,0.1,0.9,0.0005903273609400625
330,-401.0,0.3699111320952587,0.5296763245404094,BALANCED,0.06060606060606061,True,draw,0.7589653769098959,0.1,0.9,0.0005903273609400625
340,-500.0,0.3589624198984244,0.5296763245404094,BALANCED,0.058823529411764705,True,draw,0.7578281755666092,0.1,0.9,0.0005903273609400625
350,-380.0,0.34833777012731426,0.5296763245404094,BALANCED,0.05714285714285714,True,draw,0.7567837546146797,0.1,0.9,0.0005903273609400625
360,-182.0,0.33802759110996905,0.5296763245404094,BALANCED,0.05555555555555555,True,draw,0.7559419660103298,0.1,0.9,0.0005903273609400625
370,-291.0,0.3280225750708758,0.5296763245404094,BALANCED,0.05405405405405406,True,draw,0.7555962390174137,0.1,0.9,0.0005903273609400625
380,-351.0,0.3183136897281373,0.5296763245404094,BALANCED,0.05263157894736842,True,draw,0.7559230354554252,0.1,0.9,0.0005903273609400625
390,-500.0,0.3088921701393506,0.5296763245404094,BALANCED,0.05128205128205128,True,draw,0.7558179760467064,0.1,0.9,0.0005903273609400625
400,-249.0,0.2997495107888329,0.5200986188730088,BALANCED,0.05,True,loss,0.7535268874005681,0.1,0.9,0.0005903273609400625
410,-194.0,0.29087745790905184,0.5200986188730088,BALANCED,0.04878048780487805,True,draw,0.7507255061562849,0.1,0.9,0.0005869943193678071
420,-500.0,0.28226800202932767,0.5200986188730088,BALANCED,0.047619047619047616,True,draw,0.7497786744091519,0.1,0.9,0.0005869943193678071
430,-256.0,0.27391337074507993,0.5200986188730088,BALANCED,0.046511627906976744,True,draw,0.7459099721950181,0.1,0.9,0.0005869943193678071
440,-170.0,0.26580602170109296,0.5200986188730088,BALANCED,0.045454545454545456,True,draw,0.7423966863312736,0.1,0.9,0.0005869943193678071
450,-212.0,0.25793863578246295,0.5200986188730088,BALANCED,0.044444444444444446,True,draw,0.7405959289797753,0.1,0.9,0.0005869943193678071
460,-248.0,0.25030411050708157,0.5200986188730088,BALANCED,0.043478260869565216,True,draw,0.7394718608629628,0.1,0.9,0.0005869943193678071
470,-356.0,0.24289555361369,0.5200986188730088,BALANCED,0.0425531914893617,True,draw,0.7392244684602031,0.1,0.9,0.0005869943193678071
480,-488.0,0.23570627683971565,0.5200986188730088,BALANCED,0.041666666666666664,True,draw,0.7395261843974064,0.1,0.9,0.0005869943193678071
490,-168.0,0.2287297898832734,0.5200986188730088,BALANCED,0.04081632653061224,True,draw,0.7382237073977256,0.1,0.9,0.0005869943193678071
