episode,return,td_error,eta,emotion,modulator,sigma_mean,momentum,emotion_diff,zone,trend,gate,eta_cap,n_step,beta_current,priority_weight,epru_confidence,epru_adjustment,epru_intervention,azpv2_confidence,azpv2_intensity,azpv2_zone_pred,ecl_difficulty,ecl_phase,ecl_progress,ecl_stability,moo_performance_score,moo_eta_stability,moo_sigma_health,moo_predicted_perf
1,25.00,0.405,0.00200,0.934,0.0329,0.0000,0.0045,neutral,0.0000,0.000,0.00200,2,0.400,1.000,0.000,0.00000,none,0.000,0.000,neutral,0.490,exploration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,stable,0.00,0.00,0
11,10.88,0.300,0.00200,1.033,0.0346,0.0000,0.4379,neutral,0.0000,0.261,0.00200,2,0.400,1.000,0.000,0.00000,none,0.528,0.494,stabilization_soon,0.454,exploration,0.000,0.866,0.635,1.000,0.749,0.068,0.660,ascending,13.27,28.38,0
21,14.16,0.300,0.00200,0.913,-0.0003,0.0000,0.0000,neutral,-0.1773,0.262,0.00200,2,0.400,1.000,0.000,0.00000,none,0.529,0.496,stabilization_soon,0.419,exploration,0.000,0.892,0.287,1.000,0.749,0.126,0.640,stable,14.21,24.31,0
31,11.41,0.320,0.00200,0.939,0.0003,0.0000,0.0000,neutral,0.3954,0.260,0.00200,2,0.400,1.000,0.000,0.00000,none,0.528,0.493,stabilization_soon,0.486,exploration,0.132,0.975,0.518,1.000,0.749,0.115,0.668,stable,15.84,23.06,0
41,14.26,0.320,0.00057,0.888,0.0000,0.0000,0.0000,neutral,-0.2819,0.262,0.00200,2,0.400,1.000,0.000,0.00000,none,0.530,0.495,stabilization_soon,0.479,exploration,0.000,1.000,0.297,1.000,0.750,0.091,0.679,stable,15.59,21.15,0
51,16.16,0.320,0.00061,0.936,-0.0002,0.0000,0.0000,neutral,0.0568,0.260,0.00200,2,0.400,1.000,0.000,0.00000,none,0.527,0.494,stabilization_soon,0.468,exploration,0.108,1.000,0.300,1.000,0.749,0.112,0.688,stable,15.71,20.35,0
61,24.81,0.320,0.00060,0.439,0.0012,0.0000,0.0000,neutral,0.0750,0.262,0.00200,2,0.400,1.000,0.000,0.00000,none,0.530,0.494,stabilization_soon,0.510,exploration,0.000,1.000,0.557,1.000,0.751,0.147,0.678,stable,15.56,19.91,0
71,12.87,0.320,0.00063,0.425,0.0004,0.0000,0.0000,neutral,-0.0541,0.262,0.00200,2,0.400,1.000,0.000,0.00000,none,0.529,0.495,stabilization_soon,0.545,exploration,0.000,1.000,0.276,1.000,0.751,0.197,0.686,descending,15.49,19.28,0
81,22.51,0.320,0.00087,0.753,0.0613,0.0000,0.0000,neutral,0.1248,0.261,0.00200,2,0.400,1.000,0.000,0.00000,none,0.529,0.493,stabilization_soon,0.466,exploration,0.137,1.000,0.427,1.000,0.750,0.162,0.698,stable,15.71,19.05,0
91,104.16,0.980,0.00200,1.077,0.0592,0.0000,0.0335,neutral,1.2353,0.260,0.00200,2,0.400,1.000,0.000,0.00000,none,0.527,0.493,stabilization_soon,0.729,consolidation,1.000,0.626,1.000,1.000,0.750,0.278,0.543,ascending,17.51,24.99,4
